control, HR (bpm), ESP (mmHg), EDP (mmHg),Pmax (mmHg),Pmin (mmHg),dPmax (mmHg/s),dPmin (mmHg/min),Vmax (μl),Vmin (μl), ESV (μl), EDV (μl), SV (μl), CO (μl/min), EF (%) 
1,519,85.284,7.179,90.112,1.766,6934.181,-6864.326,39.601,6.432,10.964,33.129,22.165,11528.058,66.8
2,452,46.841,5.603,55.482,3.135,4219.664,-2698.324,47.945,16.328,20.199,43.901,23.702,10709.743,53.596
3,547,58.602,3.541,67.441,2.141,4640.522,-4862.996,40.577,12.382,15.615,40.541,24.926,13623.349,61.398
4,555,59.769,3.702,68.398,2.188,4728.72,-4905.007,41.813,13.027,16.36,41.785,25.425,14101.735,60.742
5,461,50.223,1.925,56.513,1.185,4461.378,-3042.663,26.177,3.792,5.245,26.118,20.873,9613.961,79.879
6,466,72.165,4.775,74.651,4.296,4793.107,-4791.278,33.358,12.192,14.003,31.131,17.128,8050.908,54.994
7,425,42.827,4.617,45.701,3.375,2576.741,-2431.567,43.609,18.918,20.972,41.875,20.903,8884.133,49.86
8,471,49.688,5.335,59.409,-0.104,4579.324,-3899.027,49.164,16.92,22.511,36.979,14.468,6814.074,39.102
9,444,53.394,0.219,59.936,-0.6,4070.428,-3733.237,37.594,10.689,12.595,37.523,24.928,11087.629,66.358
10,446,49.199,5.025,60.361,3.758,4236.419,-3983.332,45.547,12.895,15.258,45.43,30.172,13593.953,66.376
11,485,38.68,3.3,45.418,2.577,3167.408,-2251.15,52.646,18.959,22.104,52.546,30.442,14781.091,57.856
12,420,47.922,3.172,50.347,0.784,3740.552,-2343.992,37.581,4.275,5.438,35.992,30.554,12818.686,84.861
13,534,45.676,5.546,56.012,3.84,4152.324,-4017.828,57.649,21.88,25.478,56.466,30.987,16531.356,54.832
14,511,56.434,9.527,63.267,7.788,4026.973,-3793.002,24.627,6.092,7.821,24.381,16.56,8459.671,67.739
AVG,481.1428571,54.05028571,4.533285714,60.932,2.580642857,4309.124357,-3829.837786,41.27771429,12.48435714,15.32592857,39.12835714,23.80235714,11471.3105,61.74235714
SD,44.7365917,12.22324765,2.24504245,11.78339004,2.102747931,973.0854684,1270.535589,9.308345688,5.753029992,6.453199701,9.044551132,5.483057928,2879.139442,11.75839958
