,,Control,SD,HFrEF,SD
 HR  ,bpm,481.14,44.74,483.60,37.22
 ESP ,mmHg,54.05,12.22,82.95,18.75
 EDP ,mmHg,4.53,2.25,5.94,2.77
Pmax ,mmHg,60.93,11.78,92.60,19.18
Pmin ,mmHg,2.58,2.10,3.12,1.73
dP/dtmax ,mmHg/sec,4309.12,973.09,5702.65,1391.61
dP/dtmin ,mmHg/sec,-3829.84,1270.54,-5546.37,1610.70
Vmax ,uL,41.28,9.31,27.82,11.27
Vmin ,uL,12.48,5.75,11.58,4.98
 ESV ,uL,15.33,6.45,13.36,5.46
 EDV ,uL,39.13,9.04,25.45,9.46
 SV  ,uL,23.80,5.48,12.09,4.80
 CO  ,ul/min,11471.31,2879.14,5894.72,2373.94
 EF  ,%,61.74,11.76,46.97,10.05
